SourceText,Hebrew,Arabic
"<p style='color: #6b7280; font-style:\nitalic;'>Thought-provoking questions to assess understanding</p>","<p style='color: #6b7280; font-style:\nitalic;'>שאלות מעוררות מחשבה להערכת ההבנה</p>","<p style='color: #6b7280; font-style:\nitalic;'>أسئلة تثير التفكير لتقييم الفهم</p>"
"<span style='color: #374151;'>Foundational\nQuestions</span>","<span style='color: #374151;'>שאלות יסוד</span>","<span style='color: #374151;'>أسئلة أساسية</span>"
"<span style='color: #374151;'>Advanced\nQuestions</span>","<span style='color: #374151;'>שאלות מתקדמות</span>","<span style='color: #374151;'>أسئلة متقدمة</span>"
"<span style='color: #6b7280; font-size: 0.9em;\nfont-weight: normal;'>(3 questions)</span>","<span style='color: #6b7280; font-size: 0.9em;\nfont-weight: normal;'>(3 שאלות)</span>","<span style='color: #6b7280; font-size: 0.9em;\nfont-weight: normal;'>(3 أسئلة)</span>"
## Class Interactions,## אינטראקציות בשיעור,## تفاعلات الحصّة
"<p style='color: #6b7280; font-style: italic;'>Student\nengagement and participation moments</p>","<p style='color: #6b7280; font-style: italic;'>רגעים של מעורבות והשתתפות תלמידים</p>","<p style='color: #6b7280; font-style: italic;'>لحظات تفاعل ومشاركة الطلاب</p>"
## Challenging Topics,## נושאים מאתגרים,## مواضيع صعبة
"<p style='color: #6b7280; font-style: italic;'>Areas\nwhere students needed additional support</p>","<p style='color: #6b7280; font-style: italic;'>תחומים שבהם תלמידים נזקקו לתמיכה נוספת</p>","<p style='color: #6b7280; font-style: italic;'>المجالات التي احتاج فيها الطلاب إلى دعم إضافي</p>"
<strong>Suggestion:</strong>,<strong>הצעה:</strong>,<strong>اقتراح:</strong>
<strong>Evidence:</strong>,<strong>עדות:</strong>,<strong>دليل:</strong>
<strong>Strategic Vision:</strong>,<strong>חזון אסטרטגי:</strong>,<strong>رؤية استراتيجية:</strong>
<th style='padding: 12px; text-align: left; border-bottom: 2px solid #e5e7eb;'>#</th>,<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb;'>#</th>,<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb;'>#</th>
"<th style='padding: 12px; text-align: left; border-bottom: 2px solid #e5e7eb; width: 12%;'>Time</th>","<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb; width: 12%;'>זמן</th>","<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb; width: 12%;'>الوقت</th>"
"<th style='padding: 12px; text-align: left; border-bottom: 2px solid #e5e7eb; width: 20%;'>Type</th>","<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb; width: 20%;'>סוג</th>","<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb; width: 20%;'>النوع</th>"
"<th style='padding: 12px; text-align: left; border-bottom: 2px solid #e5e7eb; width: 68%;'>Description</th>","<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb; width: 68%;'>תיאור</th>","<th style='padding: 12px; text-align: right; border-bottom: 2px solid #e5e7eb; width: 68%;'>الوصف</th>"
"<div style='border-left: 3px solid #6b7280; padding: 20px; margin: 20px 0; background: #fafafa;'>","<div style='border-right: 3px solid #6b7280; padding: 20px; margin: 20px 0; background: #fafafa;'>","<div style='border-right: 3px solid #6b7280; padding: 20px; margin: 20px 0; background: #fafafa;'>"
"<summary style='cursor: pointer; padding: 12px; background: #fafafa; border-left: 3px solid #9ca3af;'>","<summary style='cursor: pointer; padding: 12px; background: #fafafa; border-right: 3px solid #9ca3af;'>","<summary style='cursor: pointer; padding: 12px; background: #fafafa; border-right: 3px solid #9ca3af;'>"
